topic_id	display_label	raw_name	keywords	story_count	label_status
0	Health · Doctors · Malnutrition · Disease	0_health_doctors_malnutrition_disease	['health', 'doctors', 'malnutrition', 'disease', 'hospital', 'diseases', 'chad', 'eastern', 'services', 'medical', 'world', 'cases']	132	needs_review
1	Rapid · Fasher · El · Artillery	1_rapid_fasher_el_artillery	['rapid', 'fasher', 'el', 'artillery', 'shelling', 'killed', 'attack', 'army', 'wave', 'wad', 'attacks', 'shouk']	89	needs_review
2	Darfur · Humanitarian · North · South	2_darfur_humanitarian_north_south	['darfur', 'humanitarian', 'north', 'south', 'hunger', 'camp', 'camps', 'feed', 'aid', 'situation', 'children', 'starvation']	85	needs_review
3	Gaza · Bombing · Raid · Yunis	3_gaza_bombing_raid_yunis	['gaza', 'bombing', 'raid', 'yunis', 'tents', 'khan', 'killed', 'bank', 'west', 'camp', 'rejects', 'targeting']	81	needs_review
4	Khartoum · Omdurman · Sennar · Homes	4_khartoum_omdurman_sennar_homes	['khartoum', 'omdurman', 'sennar', 'homes', 'electricity', 'nile', 'neighborhoods', 'citizens', 'return', 'governor', 'families', 'hundreds']	75	needs_review
5	Chad · Libya · Tragic · Kufra	5_chad_libya_tragic_kufra	['chad', 'libya', 'tragic', 'kufra', 'live', 'suffering', 'arduous', 'eastern', 'camps', 'face', 'awaiting', 'standards']	72	needs_review
6	Boat · Migrants · Coast · Migrant	6_boat_migrants_coast_migrant	['boat', 'migrants', 'coast', 'migrant', 'tunisia', 'missing', 'sank', 'african', 'tunisian', 'bodies', 'sfax', 'islands']	71	needs_review
7	Schools · Students · Education · University	7_schools_students_education_university	['schools', 'students', 'education', 'university', 'school', 'certificate', 'educational', 'alternative', 'expatriates', 'year', 'egyptian', 'children']	71	needs_review
8	Nations · United · Warns · Conflict	8_nations_united_warns_conflict	['nations', 'united', 'warns', 'conflict', 'calls', 'result', 'secretarygeneral', 'left', 'violence', 'urgent', 'clashes', 'alarming']	69	needs_review
9	Ethiopia · Ethiopian · Forests · Olala	9_ethiopia_ethiopian_forests_olala	['ethiopia', 'ethiopian', 'forests', 'olala', 'rights', 'forest', 'watch', 'attacks', 'complaints', 'security', 'human', 'camps']	63	needs_review
10	Women · Sexual · Rape · Violence	10_women_sexual_rape_violence	['women', 'sexual', 'rape', 'violence', 'raped', 'girls', 'woman', 'protection', 'kidnapping', 'official', 'cases', 'suffering']	62	needs_review
11	Chad · Uae · Visits · Delegation	11_chad_uae_visits_delegation	['chad', 'uae', 'visits', 'delegation', 'chadian', 'eastern', 'aid', 'discusses', 'camp', 'address', 'official', 'arrive']	62	needs_review
12	Army · Clashes · Kordofan · Battles	12_army_clashes_kordofan_battles	['army', 'clashes', 'kordofan', 'battles', 'result', 'darfur', 'rapid', 'north', 'south', 'nyala', 'violent', 'forces']	58	needs_review
13	Trafficking · Human · Network · Victims	13_trafficking_human_network_victims	['trafficking', 'human', 'network', 'victims', 'police', 'workshop', 'combating', 'justice', 'arrested', 'money', 'exchange', 'combat']	52	needs_review
14	Immigration · Illegal · European · Union	14_immigration_illegal_european_union	['immigration', 'illegal', 'european', 'union', 'asylum', 'law', 'britain', 'rwanda', 'europe', 'seekers', 'tunisia', 'agreement']	46	needs_review
15	Unhcr · Commissioner · High · Influx	15_unhcr_commissioner_high_influx	['unhcr', 'commissioner', 'high', 'influx', 'protection', 'aswan', 'nations', 'south', 'violation', 'emergency', 'united', 'appeal']	39	needs_review
16	Expatriates · Kuwait · Violators · Hajj	16_expatriates_kuwait_violators_hajj	['expatriates', 'kuwait', 'violators', 'hajj', 'deporting', 'foreigners', 'preventing', 'expensive', 'saudi', 'residency', 'expatriate', 'arabia']	37	needs_review
17	Diaspora · Freedom · Revolution · Arabs	17_diaspora_freedom_revolution_arabs	['diaspora', 'freedom', 'revolution', 'arabs', 'change', 'project', 'dream', 'slogan', 'december', 'generosity', 'learn', 'cleansing']	34	needs_review
18	Locality · El · Marra · Jebel	18_locality_el_marra_jebel	['locality', 'el', 'marra', 'jebel', 'fasher', 'suffering', 'dinder', 'shelter', 'line', 'harsh', 'humanitarian', 'tragic']	33	needs_review
19	Ramadan · Eid · Zakat · Prices	19_ramadan_eid_zakat_prices	['ramadan', 'eid', 'zakat', 'prices', 'aladha', 'decline', 'god', 'priority', 'sadness', 'giving', 'joy', 'family']	33	needs_review
20	Egyptian · Deports · Public · Deport	20_egyptian_deports_public_deport	['egyptian', 'deports', 'public', 'deport', 'deported', 'authorities', 'interior', 'arqin', 'receives', 'residency', 'violates', '700']	32	needs_review
21	Registered · Draft · Egyptian · Nationality	21_registered_draft_egyptian_nationality	['registered', 'draft', 'egyptian', 'nationality', 'incitement', 'harsh', 'long', 'highest', 'campaigns', 'deport', 'difficulties', 'receiving']	32	needs_review
22	Millions · Reaches · Hate · Hell	22_millions_reaches_hate_hell	['millions', 'reaches', 'hate', 'hell', 'sudans', '2023', 'destruction', 'battles', 'end', 'clashes', 'months', 'civilians']	31	needs_review
23	Migration · 10 · Population · Internal	23_migration_10_population_internal	['migration', '10', 'population', 'internal', 'organization', 'western', 'conflict', 'world', 'result', 'largest', 'start', 'witnessing']	30	needs_review
24	Watch · Video · Famous · Dance	24_watch_video_famous_dance	['watch', 'video', 'famous', 'dance', 'surprises', 'friend', 'ahmed', 'arabia', 'followers', 'expatriate', 'country', 'saudi']	28	needs_review
25	Unicef · Children · Child · Largest	25_unicef_children_child_largest	['unicef', 'children', 'child', 'largest', 'world', 'crisis', 'witnessing', 'age', 'caused', '28', 'danger', 'days']	27	needs_review
26	Border · Crossing · Sovereignty · Customs	26_border_crossing_sovereignty_customs	['border', 'crossing', 'sovereignty', 'customs', 'crossings', 'adre', 'closure', 'council', 'inspects', 'director', 'jibril', 'decides']	26	needs_review
27	Watch · Video · Photo · Girl	27_watch_video_photo_girl	['watch', 'video', 'photo', 'girl', 'girls', 'followers', 'young', 'saudi', 'expatriate', 'expatriates', 'asks', 'message']	23	needs_review
28	Marginalization · Muhammad · Mahmoud · Issues	28_marginalization_muhammad_mahmoud_issues	['marginalization', 'muhammad', 'mahmoud', 'issues', 'written', 'identity', 'passed', 'wants', 'away', 'struggle', 'ibrahim', '15']	23	needs_review
29	Rains · Floods · Island · Waves	29_rains_floods_island_waves	['rains', 'floods', 'island', 'waves', 'heavy', 'torrential', 'thousand', 'levels', 'stories', 'tell', 'horrific', 'tawila']	22	needs_review
30	Internally · Statistics · Quarter · Record	30_internally_statistics_quarter_record	['internally', 'statistics', 'quarter', 'record', 'reports', 'forcibly', 'regarding', 'approaching', '328', 'studying', '70', 'map']	22	needs_review
31	Passports · Administration · General · Immigration	31_passports_administration_general_immigration	['passports', 'administration', 'general', 'immigration', 'expatriates', 'agency', 'service', 'abroad', 'authority', 'organizes', 'department', 'discusses']	22	needs_review
32	Khartoum · Battle · Marches · Expropriation	32_khartoum_battle_marches_expropriation	['khartoum', 'battle', 'marches', 'expropriation', 'lands', 'diaspora', 'wadi', 'despite', 'arabs', 'halfa', 'decided', 'victim']	20	needs_review
33	Immigrants · Biden · Immigration · Threatens	33_immigrants_biden_immigration_threatens	['immigrants', 'biden', 'immigration', 'threatens', 'absorb', 'disabled', 'bidens', 'announce', 'americas', 'tighten', 'deal', 'deprives']	19	needs_review
34	Organization · Migration · Dongola · Assistance	34_organization_migration_dongola_assistance	['organization', 'migration', 'dongola', 'assistance', 'distribute', 'arrivals', 'partners', 'cash', 'provides', 'aid', 'locality', 'wadi']	19	needs_review
35	Libya · Libyan · Accident · Kufra	35_libya_libyan_accident_kufra	['libya', 'libyan', 'accident', 'kufra', 'traffic', 'divided', 'claims', 'confront', 'preparing', 'house', 'lives', 'tragic']	19	needs_review
36	Rights · Stop · Human · Deporting	36_rights_stop_human_deporting	['rights', 'stop', 'human', 'deporting', 'authorities', 'expulsion', 'accuses', 'group', 'calls', 'violations', 'egyptian', 'migrants']	18	needs_review
