topic_id	display_label	raw_name	keywords	representative_title_1	representative_title_2	representative_title_3
0		0_health_doctors_malnutrition_disease	['health', 'doctors', 'malnutrition', 'disease', 'hospital', 'diseases', 'chad', 'eastern', 'services', 'medical', 'world', 'cases']	Cholera outbreak worsens in eastern Sudan state amid displacement crisis	Cholera outbreak continues in an area crowded with displaced people in eastern Sudan	23 displaced people from the east of the island died of cholera in Shendi, northern Sudan
1		1_rapid_fasher_el_artillery	['rapid', 'fasher', 'el', 'artillery', 'shelling', 'killed', 'attack', 'army', 'wave', 'wad', 'attacks', 'shouk']	Large waves of displacement from Al-Jazeera State reach Shendi	A new wave of displacement from El Fasher to Jebel Marra amid escalating violence	New wave of displacement from El Fasher as fighting intensifies
2		2_darfur_humanitarian_north_south	['darfur', 'humanitarian', 'north', 'south', 'hunger', 'camp', 'camps', 'feed', 'aid', 'situation', 'children', 'starvation']	Aid agencies warn of hunger in South Sudan as returnees flee Sudan war	A UN humanitarian aid convoy heads to Zamzam camp for displaced people in North Darfur	40 thousand displaced people face food shortages in “Al-Meiram” in West Kordofan
3		3_gaza_bombing_raid_yunis	['gaza', 'bombing', 'raid', 'yunis', 'tents', 'khan', 'killed', 'bank', 'west', 'camp', 'rejects', 'targeting']	Dead and wounded, including children, in an Israeli bombing on a tent for displaced people in Khan Yunis, and Israeli forces carry out an arrest campaign in the West Bank.	Washington: “Israel should neither pursue a policy of forced displacement nor starvation in Gaza.”	What is the story of the child Julia who appears in the photo among detainees at an Israeli military checkpoint in Gaza?
4		4_khartoum_omdurman_sennar_homes	['khartoum', 'omdurman', 'sennar', 'homes', 'electricity', 'nile', 'neighborhoods', 'citizens', 'return', 'governor', 'families', 'hundreds']	Sudan Times* provides the names of the villages of Al-Butana that were completely displaced	Massive displacement of citizens of Gezira State	The continued displacement of families in Khartoum State
5		5_chad_libya_tragic_kufra	['chad', 'libya', 'tragic', 'kufra', 'live', 'suffering', 'arduous', 'eastern', 'camps', 'face', 'awaiting', 'standards']	Sudanese refugees in Kufra face the harsh desert winter	Sudanese refugees in Libya: a bleak picture and an unknown fate	The escalation of the Sudanese refugee crisis in Libya
6		6_boat_migrants_coast_migrant	['boat', 'migrants', 'coast', 'migrant', 'tunisia', 'missing', 'sank', 'african', 'tunisian', 'bodies', 'sfax', 'islands']	At least 25 people were killed after a migrant boat sank off Mauritania	French Coast Guard: 4 migrants died trying to cross the English Channel	Eyewitnesses say the Greek Coast Guard deliberately threw migrants into the sea to die
7		7_schools_students_education_university	['schools', 'students', 'education', 'university', 'school', 'certificate', 'educational', 'alternative', 'expatriates', 'year', 'egyptian', 'children']	November 17 is the last date for counting and registering the displaced Sudanese certificate students, batch 2023, postponed	November 17 is the last date for inventory and registration of displaced Sudanese certificate students	Closing Sudanese community schools in Egypt... and concern for the future of refugee children
8		8_nations_united_warns_conflict	['nations', 'united', 'warns', 'conflict', 'calls', 'result', 'secretarygeneral', 'left', 'violence', 'urgent', 'clashes', 'alarming']	United Nations: The number of displaced people in Sudan exceeds 11 million	Sudan contests UN data on Al Jazirah displaced persons	The United Nations warns of the escalating numbers of refugees, displacement, and the continuation of war in Sudan
9		9_ethiopia_ethiopian_forests_olala	['ethiopia', 'ethiopian', 'forests', 'olala', 'rights', 'forest', 'watch', 'attacks', 'complaints', 'security', 'human', 'camps']	Guardian: Sudanese refugees live in a forest in Ethiopia to escape murder	A British newspaper reveals the conditions of Sudanese refugees in Ethiopia	Ethiopia's visa policy shift leaves Sudanese refugees in limbo
10		10_women_sexual_rape_violence	['women', 'sexual', 'rape', 'violence', 'raped', 'girls', 'woman', 'protection', 'kidnapping', 'official', 'cases', 'suffering']	Sudanese women in refugee camps in Chad are forced to have sex	Displaced Sudanese women overcome the hardships of war with innovation	“Associated Press” reveals that Sudanese refugee women were subjected to sexual exploitation in the “Adre” camp by humanitarian workers
11		11_chad_uae_visits_delegation	['chad', 'uae', 'visits', 'delegation', 'chadian', 'eastern', 'aid', 'discusses', 'camp', 'address', 'official', 'arrive']	The UAE enhances relief support for Sudanese refugees in Uganda	The German government intends to support a project to integrate Sudanese refugees in Chad	The US Under Secretary of State visits Algeria and Egypt to discuss cooperation efforts to combat human trafficking and address the humanitarian crises in Gaza and Sudan.
12		12_army_clashes_kordofan_battles	['army', 'clashes', 'kordofan', 'battles', 'result', 'darfur', 'rapid', 'north', 'south', 'nyala', 'violent', 'forces']	RSF attacks spark mass displacement in Sudan's White Nile state	Clashes in Khartoum and an increase in the number of displaced people from areas of violence in central Sudan	New waves of displacement from Khartoum amid violent clashes between the army and the Rapid Support Forces
13		13_trafficking_human_network_victims	['trafficking', 'human', 'network', 'victims', 'police', 'workshop', 'combating', 'justice', 'arrested', 'money', 'exchange', 'combat']	Port Sudan organizes a workshop to combat human trafficking	The National Committee to Combat Human Trafficking welcomes the US President’s decision	Sudan welcomes America's lifting of restrictions imposed under the human trafficking law
14		14_immigration_illegal_european_union	['immigration', 'illegal', 'european', 'union', 'asylum', 'law', 'britain', 'rwanda', 'europe', 'seekers', 'tunisia', 'agreement']	British deals to combat illegal immigration across the Mediterranean	Is Italy's model of transporting migrants abroad doomed to fail?	Official of the Organization to Reduce Illegal Immigration to Libya: The number of Sudanese refugees is approximately two million
15		15_unhcr_commissioner_high_influx	['unhcr', 'commissioner', 'high', 'influx', 'protection', 'aswan', 'nations', 'south', 'violation', 'emergency', 'united', 'appeal']	United Nations High Commissioner for Refugees: More than 11 million displaced people in Sudan	Refugee Commissioner: We have begun preparations for the voluntary return of Sudanese	Commissioner for Refugees: The situation in Sudan is “desperate” and the international community does not care
16		16_expatriates_kuwait_violators_hajj	['expatriates', 'kuwait', 'violators', 'hajj', 'deporting', 'foreigners', 'preventing', 'expensive', 'saudi', 'residency', 'expatriate', 'arabia']	Landlord: Hemedti took advantage of the state's weakness to settle diaspora Arabs	Kuwait... deports 7 to 8 thousand expatriate violators per month... and withdraws citizenship from 850 people	For expatriates... Qatari Labor Ministry launches the “Oqool” platform to accelerate employment... and these are its advantages
17		17_diaspora_freedom_revolution_arabs	['diaspora', 'freedom', 'revolution', 'arabs', 'change', 'project', 'dream', 'slogan', 'december', 'generosity', 'learn', 'cleansing']	Nubians in Sudan: suffering and a history of marginalization and ethnic cleansing	Suffering and a history of marginalization and ethnic cleansing	Try returning to Sudan for labor and livelihood diaspora
18		18_locality_el_marra_jebel	['locality', 'el', 'marra', 'jebel', 'fasher', 'suffering', 'dinder', 'shelter', 'line', 'harsh', 'humanitarian', 'tragic']	The tragedy of the displaced people from the villages in the south of the island... Painful stories from the heart of suffering	An urgent humanitarian appeal from the Coordination of Civilian Democratic Forces (Taqaddam) to save the lives of stranded and displaced civilians in the eastern regions of the island.	Appeals to receive displaced people on foot in Al-Faw and New Halfa
19		19_ramadan_eid_zakat_prices	['ramadan', 'eid', 'zakat', 'prices', 'aladha', 'decline', 'god', 'priority', 'sadness', 'giving', 'joy', 'family']	Rawda Al-Hajj: We are tired of death, sadness, war, and migration!	The Mufti of Chad demands the placement of poor people in refugee camps	Zakat Office in the Blue Nile Region: Follow-up of the flows of displaced people from the states affected by the war
20		20_egyptian_deports_public_deport	['egyptian', 'deports', 'public', 'deport', 'deported', 'authorities', 'interior', 'arqin', 'receives', 'residency', 'violates', '700']	Authorities in Wadi Halfa: The cost of travel tickets represents an obstacle to the return of those deported from Egypt to their states	The Egyptian authorities deport two Sudanese women to Port Sudan despite obtaining a UN refugee card	A Sudanese state deports 600 foreigners to their countries
21		21_registered_draft_egyptian_nationality	['registered', 'draft', 'egyptian', 'nationality', 'incitement', 'harsh', 'long', 'highest', 'campaigns', 'deport', 'difficulties', 'receiving']	Egypt.. How does the “new draft law” affect refugees?	Sudanese nationality is the highest.. The number of registered refugees in Egypt exceeds 800 thousand	Sudanese nationality is the highest.. The number of registered refugees in Egypt exceeds 800 thousand
22		22_millions_reaches_hate_hell	['millions', 'reaches', 'hate', 'hell', 'sudans', '2023', 'destruction', 'battles', 'end', 'clashes', 'months', 'civilians']	The burden of this war is borne by millions of civilians targeted and displaced by the Janjaweed	After 10 years of the Yemen war, thousands of displaced people face the risk of forced eviction	The Displaced Persons Coordination Committee calls for not using food as a “starvation weapon” in Sudan’s war
