topic_id	display_label	raw_name	keywords	representative_excerpt_1	representative_excerpt_2	representative_excerpt_3
0	Conflict in El Fasher and North Darfur	0_rapid_fasher_el_army	['rapid', 'fasher', 'el', 'army', 'artillery', 'forces', 'city', 'tribune', 'camp', 'killed', 'darfur', 'north']	The Popular Defense Forces in North Darfur also announced the capture of eight, including a lieutenant colonel, affiliated with the Minawi movement, in the “Qisa Jamat” area in Kalimando locality.	The Commander of the Rapid Support Forces, Lieutenant General Mohamed Hamdan Dagalo, known as Hemedti, while addressing his forces in the Wadi Howar region of North Darfur on Tuesday, denied liquidating prisoners who were captured in the battles of East and North Darfur in the past two days, saying, “The rumor launched by the Minawi movement What he said about eliminating the Zaghawa people is all a lie.” *	"For his part, the spokesman for the Rapid Support Forces, Lieutenant Colonel Adam Saleh, announced that their forces ""defeated the rebels in the Ain Siro area of ​​Kutum locality in North Darfur state."" He explained that it was one of the groups that fled the battle of the northern axis in Wadi Howar and entered the Sudanese-Chadian border. Saleh said in statements reported by the Sudan News Agency on Sunday that the Rapid Support Forces continued to chase and pursue the rebels fleeing the battles in the states of North and East Darfur. He stressed that the Rapid Support Forces inflicted losses on the rebels in lives and property and were able to seize a large number of military vehicles and also destroyed a number of military vehicles, indicating that the clashes and chases are still continuing."
1	Education, schools and examinations	1_students_education_exams_school	['students', 'education', 'exams', 'school', 'certificate', 'schools', 'university', 'teachers', 'secondary', 'educational', 'student', 'universities']	It also maintained 10 schools that were affected last fall with $200,000 provided by the Saudi Red Crescent, in addition.	To build a school in the Taiba Al-Ahamda area.	"The ""deported"" Minister of Justice was a candidate for the position of Prime Minister (Ze) A lecturer sparks a crisis at the University of Khartoum Sudanese: Bakri obliges the ministers to write a release (Al-Sudani) obtains information confirming that the Minister of Justice does not obtain a doctorate from America National Authority: Freezing the funds of people suspected of being linked to terrorist activities Ghandour:"
2	Humanitarian aid, food insecurity and famine	2_humanitarian_aid_food_famine	['humanitarian', 'aid', 'food', 'famine', 'million', 'nations', 'united', 'hunger', 'children', 'malnutrition', 'relief', 'unicef']	📡 *Sudan News Network SNN* _*(Eye on the truth)*_ *The United Nations thanks Sudan for hosting southern refugees* The Secretary-General of the United Nations, António Guterres, expressed the international organization's thanks and appreciation for Sudan's ongoing efforts to alleviate the impact of the crisis emerging in the southern country. The official spokesman for the Ministry of Foreign Affairs, Ambassador Qaribullah Khadr, said in press statements yesterday that Foreign Minister Ibrahim Ghandour received a message from the Secretary-General of the United Nations in which he affirmed the United Nations’ appreciation for the government’s efforts in a number of areas, such as providing humanitarian aid to those affected by the humanitarian crisis in the south. And mobilize the support of relevant national authorities.	Guterres thanked the Minister of Foreign Affairs for facilitating the United Nations response to the humanitarian crisis, by opening a corridor to deliver humanitarian aid from the city of Kosti, Nile State, and then opening two additional corridors for the same purpose from the city of El Obeid, North Kordofan State, to the cities of “Bentiu” and “Aweil” in South Sudan. He also expressed his appreciation for the government's continued warm welcome in welcoming refugees from the south, stressing the continuation of his efforts with member states to attract additional funding to support the response to the needs of refugees in Sudan and other countries neighboring South Sudan. Khader said that the Secretary-General of the United Nations confirmed that they are relying heavily on the government of Sudan to support regional and international efforts to put pressure on the parties to the crisis in South Sudan to stop the fighting. *	Actions against a company that tampered with dairy products Al-Bashir directs the inclusion of autistic children in schools Sudanese:
3	Football and Sudanese sports	3_almerreikh_alhilal_sports_stadium	['almerreikh', 'alhilal', 'sports', 'stadium', 'league', 'hilal', 'cup', 'football', 'team', 'match', 'defeats', 'mars']	1,000 cases of watery diarrhea, including 20 deaths (39,880) Tramadol pills were seized and a Nigerian football player was arrested The Chadian president contacts armed movements to join the dialogue document Current:	the conclusion of the Qatar Festival “Arc de Triomphe” races in Paris His Highness the Amir makes a call with the Turkish President Qatar Airways celebrates its 20th anniversary with an air show with the Red Arrows in the sky of Doha Paris Saint-Germain beats Bordeaux with a score and strengthens its lead in the French League Egyptian pyramids:	No talks with Pyongyang, except for the issue of the Americans The QSL Cup tournament starts tomorrow The Minister of Culture and Sports meets the German government envoy for cultural cooperation Opening of the conference for building engineering capabilities and competencies and qualifying them for the labor market Egyptian pyramids:
4	Gulf, Iran and regional affairs	4_iran_saudi_qatari_arabia	['iran', 'saudi', 'qatari', 'arabia', 'qatar', 'iranian', 'yemen', 'syria', 'bin', 'yemeni', 'highness', 'prince']	The president will go to Riyadh on Friday Last minute:	Our relationship with Qatar is advanced and we will work to strengthen it In an exciting development in the Sudakal case:	6 Gulf and Arab countries boycott Qatar and Sudan calls for calm Al-Hassan Al-Mirghani:
5	Newspaper headlines and media round-ups	5_newspaper_headlines_newspapers_alintibaha	['newspaper', 'headlines', 'newspapers', 'alintibaha', 'political', 'alsudani', 'akhbar', 'alwatan', 'alsayha', 'alyoum', 'prominent', 'ad']	It is possible that Al-Bashir will come to Saudi Arabia The Minister of Oil meets with a number of foreign companies operating in Sudan Parliament appoints two committees on information and communications and a trade committee Last minute: New reports in the case of fake pharmaceutical companies The Jurisprudence Academy is investigating the sighting of the Ramadan crescent next Friday Expectations that the results of the secondary school certificate will be announced in mid-June Guidance to quickly resolve water cuts in the hose 🌐 *Sudan News Network* 🔸 *For more news, follow us on Facebook* 👇🏼👇🏼👇🏼 https://www.facebook.com/SudanNewsNetwork/ *And on the Telegram website.* https://t.me/Sd_News_Network	📡 *Sudan News Network SNN* _*(Eye on the truth)*_ *Headlines of newspapers issued on Thursday, May 25, 2017* Monitoring and preparation: Magdy Shafiq Ahmed Hammam Sudan University of Science and Technology Today's news: Sudan demands an external investigation into its accusations against Egypt, South Sudan, and Haftar Egyptian President:	Headlines of Sudanese newspapers issued on Wednesday, September 13, 2017 Monitoring and preparation: Magdy Shafiq Ahmed Hammam Sudan University of Science and Technology New details about the cancellation of the African-Israeli summit.
6	Ethiopia, Tigray and the border	6_ethiopian_ethiopia_border_tigray	['ethiopian', 'ethiopia', 'border', 'tigray', 'addis', 'ababa', 'eritrea', 'eritrean', 'alqalabat', 'abiy', 'crossing', 'region']	Lifting economic sanctions on Sudan today (Friday) Ghandour and the Ethiopian Foreign Minister meet Machar in South Africa to restore peace in the southern country The government regrets that Sudan is included among the countries that fail to combat human trafficking Execution by hanging for those convicted of raping a disabled girl in Dongola	The people of the South do not regret separating from Sudan 150 Ethiopian dissidents took refuge in Sudan from Eritrea Abdel-Hay Youssef refutes Libyan allegations linking him to ISIS Current: Lieutenant General Taha reveals to the movement the secrets of his dismissal Abdel-Hay Youssef responds violently to the Libyan accusations Amendments in the Khartoum government by 40% Roads and bridges:	18 security features for the new ID card The government pays 400 million diyat to Ethiopians Objections within the National Council to the legitimacy of parliament Security Director:
7	Cholera, dengue and disease outbreaks	7_cholera_cases_fever_dengue	['cholera', 'cases', 'fever', 'dengue', 'epidemic', 'deaths', 'recorded', 'disease', 'health', 'malaria', 'measles', 'spread']	The presidency directs rapid intervention to contain watery diarrhea in the White Nile Governor of North Darfur:	The First Deputy directs urgent intervention to contain diarrhea in the White Nile Hassabo:	📡 *Sudan News Network SNN* _*(Eye on the truth)*_ *Casha: An increase in cases of watery diarrhea infections and deaths* The governor of White Nile State in southern Sudan, Abdel Hamid Kasha, announced an increase in cases of infection and death due to what he described as an epidemic of watery diarrhea, confirming that 2,755 people have been infected with the disease, and 49 others have died since the epidemic spread in the state. On May 4, the Sudanese Ministry of Health confirmed the death of 16 people suffering from watery diarrhea, out of a total of 973 cases in White Nile State, bordering South Sudan. Kasha said in a statement before the Council of States in Khartoum on Tuesday evening that he cannot declare a state of emergency because that is not within his jurisdiction and must be done by the World Health Organization.
8	Israel, Gaza and Palestine	8_israel_israeli_palestinian_gaza	['israel', 'israeli', 'palestinian', 'gaza', 'normalization', 'palestine', 'jews', 'strip', 'trump', 'arab', 'entity', 'lebanon']	Israel gives thousands of #Sudanese immigrants a choice between imprisonment or departure #Sudan_News_Network https://t.me/Sd_News_Network The Israeli authorities announced on Thursday their intention to arrest thousands of unauthorized Sudanese immigrants and place them in a detention center if they do not leave the country voluntarily. The numbers indicate that the number of illegal immigrants living in Israel reached about 60,000 immigrants from Africa, including 15,000 immigrants from Sudan.	Israeli Interior Minister Eli Yishai said that the arrests will begin in mid-October. Yishai added, in statements reported by Israeli Army Radio, “Once the immigrants are unable to work, they will fall ill and want to leave the country voluntarily.” The minister's statement comes despite the Supreme Court's approval last August for Israel to continue procedures to deport African refugees who illegally infiltrated it to an unnamed third country. Before this decision, Israel was detaining African refugees in an open prison for up to 12 months. # Israel cannot expel them to their homelands because it has signed an international refugee treaty that prohibits it from forcibly returning migrants to countries considered vulnerable to their persecution.	Mubarak's statements about Israel do not express our official position colors:
9	Violence, displacement and civilian harm	9_village_villages_militia_aljazeera	['village', 'villages', 'militia', 'aljazeera', 'rapid', 'citizens', 'killed', 'abu', 'fasher', 'displacement', 'camp', 'civilians']	26 people died and 170 were injured as a result of the Sabratha clashes	We will not remain silent about what happened in Khor Al-Warl camp Manufacturers' Chamber:	4 children were killed in regime bombing on Eastern Ghouta 12 killed as a result of air strikes on the Libyan city of Derna Venezuelan opposition:
