topic_id	display_label	raw_name	keywords	chunk_count	label_status
0	Conflict in El Fasher and North Darfur	0_rapid_fasher_el_army	['rapid', 'fasher', 'el', 'army', 'artillery', 'forces', 'city', 'tribune', 'camp', 'killed', 'darfur', 'north']	2403	reviewed
1	Education, schools and examinations	1_students_education_exams_school	['students', 'education', 'exams', 'school', 'certificate', 'schools', 'university', 'teachers', 'secondary', 'educational', 'student', 'universities']	2323	reviewed
2	Humanitarian aid, food insecurity and famine	2_humanitarian_aid_food_famine	['humanitarian', 'aid', 'food', 'famine', 'million', 'nations', 'united', 'hunger', 'children', 'malnutrition', 'relief', 'unicef']	1227	reviewed
3	Football and Sudanese sports	3_almerreikh_alhilal_sports_stadium	['almerreikh', 'alhilal', 'sports', 'stadium', 'league', 'hilal', 'cup', 'football', 'team', 'match', 'defeats', 'mars']	931	reviewed
4	Gulf, Iran and regional affairs	4_iran_saudi_qatari_arabia	['iran', 'saudi', 'qatari', 'arabia', 'qatar', 'iranian', 'yemen', 'syria', 'bin', 'yemeni', 'highness', 'prince']	705	reviewed
5	Newspaper headlines and media round-ups	5_newspaper_headlines_newspapers_alintibaha	['newspaper', 'headlines', 'newspapers', 'alintibaha', 'political', 'alsudani', 'akhbar', 'alwatan', 'alsayha', 'alyoum', 'prominent', 'ad']	605	reviewed
6	Ethiopia, Tigray and the border	6_ethiopian_ethiopia_border_tigray	['ethiopian', 'ethiopia', 'border', 'tigray', 'addis', 'ababa', 'eritrea', 'eritrean', 'alqalabat', 'abiy', 'crossing', 'region']	604	reviewed
7	Cholera, dengue and disease outbreaks	7_cholera_cases_fever_dengue	['cholera', 'cases', 'fever', 'dengue', 'epidemic', 'deaths', 'recorded', 'disease', 'health', 'malaria', 'measles', 'spread']	573	reviewed
8	Israel, Gaza and Palestine	8_israel_israeli_palestinian_gaza	['israel', 'israeli', 'palestinian', 'gaza', 'normalization', 'palestine', 'jews', 'strip', 'trump', 'arab', 'entity', 'lebanon']	542	reviewed
9	Violence, displacement and civilian harm	9_village_villages_militia_aljazeera	['village', 'villages', 'militia', 'aljazeera', 'rapid', 'citizens', 'killed', 'abu', 'fasher', 'displacement', 'camp', 'civilians']	524	reviewed
10	Women’s rights and sexual violence	10_women_sexual_violence_rape	['women', 'sexual', 'violence', 'rape', 'girls', 'womens', 'cases', 'documented', 'raped', 'tribune', 'gender', 'exploitation']	496	reviewed
11	Agriculture, farmers and harvests	11_agricultural_pounds_farmers_season	['agricultural', 'pounds', 'farmers', 'season', 'agriculture', 'wheat', 'livestock', 'production', 'acres', 'bag', 'seeds', 'harvest']	495	reviewed
12	Displacement, looting and attacks on civilians	12_civilians_homes_displacement_looting	['civilians', 'homes', 'displacement', 'looting', 'women', 'property', 'neighborhoods', 'killing', 'led', 'villages', 'addition', 'bombing']	491	reviewed
13	Religious prayers and blessings	13_god_oh_lord_ask	['god', 'oh', 'lord', 'ask', 'willing', 'mercy', 'gods', 'blessings', 'good', 'reward', 'praise', 'bless']	483	reviewed
14	COVID-19 pandemic	14_corona_coronavirus_virus_cases	['corona', 'coronavirus', 'virus', 'cases', 'pandemic', 'suspected', 'health', 'infected', 'infection', 'infections', 'confront', 'deaths']	472	reviewed
15	Jobs, vacancies and recruitment	15_required_degree_officer_vacant	['required', 'degree', 'officer', 'vacant', 'assistant', 'related', 'port', 'monthly', 'management', 'field', 'vacancies', 'salary']	465	reviewed
16	Constitution, elections and political transition	16_legislative_constitutional_elections_ministers	['legislative', 'constitutional', 'elections', 'ministers', 'freedom', 'party', 'political', 'change', 'democracy', 'transitional', 'government', 'congress']	451	reviewed
17	Food baskets and charitable assistance	17_baskets_food_charity_crescent	['baskets', 'food', 'charity', 'crescent', 'families', 'displaced', 'meals', 'red', 'distributes', 'initiative', 'qatar', 'charitable']	434	reviewed
18	War crimes, genocide and international law	18_crimes_genocide_law_international	['crimes', 'genocide', 'law', 'international', 'civilians', 'humanitarian', 'conventions', 'ethnic', 'violation', 'violations', 'committed', 'humanity']	411	reviewed
19	Foreign relations and diplomatic visits	19_foreign_ambassador_affairs_relations	['foreign', 'ambassador', 'affairs', 'relations', 'egyptian', 'countries', 'minister', 'president', 'egypt', 'bilateral', 'visit', 'brotherly']	407	reviewed
20	Meets · Governor · Minister · Confirms	20_meets_governor_minister_confirms	['meets', 'governor', 'minister', 'confirms', 'health', 'reviews', 'suna', 'receives', 'nile', 'agency', 'council', 'delegation']	404	needs_review
21	Health care, hospitals and medicines	21_doctors_medical_health_borders	['doctors', 'medical', 'health', 'borders', 'room', 'patients', 'emergency', 'medicines', 'humanitarian', 'hospitals', 'malnutrition', 'hospital']	384	reviewed
22	Armed struggle and military mobilisation	22_struggle_victory_battle_army	['struggle', 'victory', 'battle', 'army', 'armed', 'forces', 'popular', 'battleofdemocracy', 'liberation', 'martyrs', 'selfdefense', 'guardians']	380	reviewed
23	Hamdok, political parties and transition	23_hamdok_party_communist_hamdoks	['hamdok', 'party', 'communist', 'hamdoks', 'freedom', 'political', 'leader', 'prime', 'change', 'government', 'congress', 'revolutionary']	375	reviewed
24	Displacement camps in El Fasher and Tawila	24_village_displaced_families_fasher	['village', 'displaced', 'families', 'fasher', 'tawila', 'camp', 'el', 'camps', 'residents', 'city', 'villages', 'food']	352	reviewed
25	South Sudanese and Chadian refugees	25_refugees_chad_commissioner_high	['refugees', 'chad', 'commissioner', 'high', 'unhcr', 'nations', 'south', 'refugee', 'chadian', 'united', 'camps', 'million']	347	reviewed
26	Blue · Nile · Governor · Northern	26_blue_nile_governor_northern	['blue', 'nile', 'governor', 'northern', 'north', 'kordofan', 'locality', 'white', 'river', 'badi', 'reviews', 'launches']	339	needs_review
27	Military operations around El Fasher	27_fasher_city_area_el	['fasher', 'city', 'area', 'el', 'forces', 'axis', 'vehicles', 'army', 'militia', 'division', 'artillery', 'siege']	321	reviewed
28	Ethiopian refugees and Tigray displacement	28_ethiopian_refugees_ethiopia_tigray	['ethiopian', 'refugees', 'ethiopia', 'tigray', 'forests', 'refugee', 'ethiopians', 'ababa', 'addis', 'region', 'camp', 'camps']	319	reviewed
29	Khartoum policing and public security	29_police_security_khartoum_crime	['police', 'security', 'khartoum', 'crime', 'committee', 'phenomena', 'presence', 'interior', 'foreigners', 'director', 'hamza', 'cell']	318	reviewed
30	Banks, currency and exchange rates	30_bank_banks_exchange_dollar	['bank', 'banks', 'exchange', 'dollar', 'pound', 'rate', 'banking', 'currency', 'central', 'currencies', 'pounds', 'transfers']	302	reviewed
31	Aviation, airports and flights	31_airport_flights_airlines_flight	['airport', 'flights', 'airlines', 'flight', 'aviation', 'plane', 'airspace', 'stranded', 'badr', 'passenger', 'passengers', 'aircraft']	298	reviewed
32	Passports, visas and immigration procedures	32_passports_passport_immigration_foreigners	['passports', 'passport', 'immigration', 'foreigners', 'police', 'administration', 'visa', 'registry', 'procedures', 'documents', 'factory', 'general']	297	reviewed
33	Police · Security · Crime · Intelligence	33_police_security_crime_intelligence	['police', 'security', 'crime', 'intelligence', 'services', 'rates', 'criminal', 'service', 'force', 'phenomena', 'defendants', 'negative']	287	needs_review
34	Floods, rainfall and storm damage	34_floods_rains_torrential_torrents	['floods', 'rains', 'torrential', 'torrents', 'rain', 'affected', 'flood', 'heavy', 'collapse', 'homes', 'damaged', 'houses']	280	reviewed
35	Ceasefires, peace talks and conflict negotiations	35_truce_ceasefire_parties_peace	['truce', 'ceasefire', 'parties', 'peace', 'conflict', 'war', 'agreement', 'stop', 'negotiation', 'movements', 'hostilities', 'warring']	270	reviewed
36	December Revolution and democratic change	36_revolution_revolutionary_glorious_freedom	['revolution', 'revolutionary', 'glorious', 'freedom', 'december', 'change', 'revolutionaries', 'rebellion', 'colonialism', 'goals', 'processions', 'terrified']	261	reviewed
37	Rebel · Al · Withdrawal · Militia	37_rebel_al_withdrawal_militia	['rebel', 'al', 'withdrawal', 'militia', 'islamists', 'major', 'alburhan', 'war', 'leaders', 'military', 'silent', 'saeed']	247	needs_review
38	Courts, corruption and criminal justice	38_court_corruption_prosecution_case	['court', 'corruption', 'prosecution', 'case', 'article', 'justice', 'judge', 'prosecutor', 'law', 'code', 'public', 'criminal']	238	reviewed
39	Sudanese in Egypt and deportations	39_egypt_voluntary_embassy_egyptian	['egypt', 'voluntary', 'embassy', 'egyptian', 'stranded', 'return', 'deportation', 'sudanese', 'violators', 'aswan', 'syrians', 'deported']	223	reviewed
40	Gold mining and mineral resources	40_mining_gold_mineral_company	['mining', 'gold', 'mineral', 'company', 'resources', 'production', 'companies', 'minerals', 'companys', 'ardoul', 'traditional', 'tons']	223	reviewed
41	Httpstmesaqwl · Spokesperson · Office · Watch	41_httpstmesaqwl_spokesperson_office_watch	['httpstmesaqwl', 'spokesperson', 'office', 'watch', 'khartoumjanjaweedcemetery', 'official', 'account', 'sudannews', 'application', 'following', 'news', 'rapid']	221	needs_review
42	Human rights investigations and accountability	42_rights_human_factfinding_mission	['rights', 'human', 'factfinding', 'mission', 'commission', 'independent', 'violations', 'expert', 'crimes', 'geneva', 'international', 'african']	215	reviewed
43	Inflation and the parallel currency market	43_dollar_exchange_rate_inflation	['dollar', 'exchange', 'rate', 'inflation', 'currency', 'banks', 'banking', 'parallel', 'market', 'billion', 'bank', 'monetary']	213	reviewed
44	COVID-19 cases and public-health response	44_corona_cases_infections_suspected	['corona', 'cases', 'infections', 'suspected', 'virus', 'pandemic', 'deaths', 'health', 'recorded', 'infection', 'coronavirus', 'preventive']	212	reviewed
45	Drug seizures and narcotics control	45_drugs_drug_pills_seized	['drugs', 'drug', 'pills', 'seized', 'smuggling', 'combating', 'addiction', 'quantities', 'possession', 'police', 'shipment', 'administration']	210	reviewed
46	Human trafficking and migrant smuggling	46_trafficking_human_smuggling_victims	['trafficking', 'human', 'smuggling', 'victims', 'gang', 'investigations', 'hostages', 'network', 'criminal', 'arrested', 'department', 'gangs']	208	reviewed
47	Waiting · Answer · Zero · Think	47_waiting_answer_zero_think	['waiting', 'answer', 'zero', 'think', 'happened', '2013', 'hour', 'ask', 'mean', 'clarify', 'know', 'understand']	205	needs_review
48	African Union, IGAD and continental diplomacy	48_african_union_continent_membership	['african', 'union', 'continent', 'membership', 'president', 'summit', 'sudans', 'igad', 'sovereignty', 'representative', 'africa', 'commission']	203	reviewed
49	God · Bless · Messenger · Grant	49_god_bless_messenger_grant	['god', 'bless', 'messenger', 'grant', 'prophet', 'almighty', 'lord', 'blessings', 'peace', 'allah', 'oh', 'prayer']	202	needs_review
50	Follow · Httpstmesudaaan · Channel · Whatsapp	50_follow_httpstmesudaaan_channel_whatsapp	['follow', 'httpstmesudaaan', 'channel', 'whatsapp', 'telegram', 'httpswhatsappcomchannel0029vapgy3o7dmecjcizwq2x', 'reliable', 'coverage', 'httpswhatsappcomchaannel0029vb2jdpaixnnnnnnnnnnnnnpxuj5a1x', 'challengesofthetransitionalperiod', 'sudan', 'news']	200	needs_review
51	Electricity, power supply and outages	51_electricity_station_energy_electrical	['electricity', 'station', 'energy', 'electrical', 'power', 'maintenance', 'outages', 'generation', 'stations', 'company', 'water', 'supply']	199	reviewed
52	Displacement shelters and living conditions	52_displaced_shelter_food_conditions	['displaced', 'shelter', 'food', 'conditions', 'harsh', 'families', 'lack', 'elderly', 'cold', 'suffering', 'return', 'children']	198	reviewed
53	Oil, fuel and refineries	53_refinery_fuel_oil_energy	['refinery', 'fuel', 'oil', 'energy', 'gasoline', 'gas', 'petroleum', 'prices', 'stations', 'employees', 'pumping', 'company']	196	reviewed
54	Headlines · Army · News · Alburhan	54_headlines_army_news_alburhan	['headlines', 'army', 'news', 'alburhan', 'newspaper', 'issued', 'ad', 'truce', 'electronic', 'alsudani', 'political', 'prominent']	196	needs_review
55	Damazin · Abdul · Al · Hassan	55_damazin_abdul_al_hassan	['damazin', 'abdul', 'al', 'hassan', 'muhammad', 'writes', 'albilal', 'hamid', 'ali', 'ahmed', 'altayeb', 'ibrahim']	195	needs_review
56	Telecommunications, internet and Starlink	56_networks_starlink_communication_devices	['networks', 'starlink', 'communication', 'devices', 'internet', 'telecommunications', 'communications', 'interruption', 'operational', 'accounts', 'followers', 'phone']	194	reviewed
57	Ad · Todays · News · Headlines	57_ad_todays_news_headlines	['ad', 'todays', 'news', 'headlines', '2024', '2025', 'bulletin', '2017', 'saturday', 'issued', 'wednesday', 'important']	193	needs_review
58	Government appointments and ministries	58_ministries_khartoum_appointment_kamel	['ministries', 'khartoum', 'appointment', 'kamel', 'governor', 'idris', 'controversy', 'ministers', 'tijani', 'headquarters', 'service', 'explaining']	192	reviewed
59	Customs, borders and goods smuggling	59_customs_goods_smuggling_luggage	['customs', 'goods', 'smuggling', 'luggage', 'crossings', 'dogs', 'exempt', 'smuggle', 'personal', 'duties', 'electrical', 'fees']	191	reviewed
60	Budget, taxation and public finance	60_budget_finance_spending_taxes	['budget', 'finance', 'spending', 'taxes', 'economic', 'revenues', 'economy', 'citizen', 'treasury', 'ministry', 'money', 'ministers']	185	reviewed
61	Join · Scene · Httpstmesdnewsnetwork · Link	61_join_scene_httpstmesdnewsnetwork_link	['join', 'scene', 'httpstmesdnewsnetwork', 'link', 'telegram', 'sudanese', '', '', '', '', '', '']	185	needs_review
62	Headlines · Newspapers · Newspaper · 2022	62_headlines_newspapers_newspaper_2022	['headlines', 'newspapers', 'newspaper', '2022', 'ad', 'morning', 'prominent', '2017', 'issued', 'published', 'hammam', 'shafiq']	179	needs_review
63	God · Oh · Protect · Mighty	63_god_oh_protect_mighty	['god', 'oh', 'protect', 'mighty', 'victory', 'blessings', 'grant', 'mercy', 'hired', 'traitors', 'homeland', 'ask']	177	needs_review
64	Father · Love · Sudanese · Battle	64_father_love_sudanese_battle	['father', 'love', 'sudanese', 'battle', 'history', 'humiliate', 'drink', 'like', 'gave', 'pride', 'truth', 'chad']	175	needs_review
65	Hospitals, doctors and medical services	65_health_hospital_doctors_medical	['health', 'hospital', 'doctors', 'medical', 'surgery', 'center', 'personnel', 'hospitals', 'machines', 'strike', 'heart', 'preparing']	174	reviewed
66	UN Security Council, sanctions and missions	66_sanctions_security_council_united	['sanctions', 'security', 'council', 'united', 'nations', 'mission', 'envoy', 'representative', 'session', 'resolution', 'imposed', 'sudan']	170	reviewed
67	Weather forecasts and temperatures	67_weather_moderate_temperatures_meteorology	['weather', 'moderate', 'temperatures', 'meteorology', 'hot', 'willing', 'facebook', 'expected', 'rain', 'cold', 'temperature', 'night']	169	reviewed
68	Justice, democracy and political marginalisation	68_injustice_revolution_freedom_regime	['injustice', 'revolution', 'freedom', 'regime', 'democracy', 'democratic', 'political', 'marginalization', 'revolutions', 'justice', 'power', 'achieve']	166	reviewed
69	Suna · Agency · News · Sudan	69_suna_agency_news_sudan	['suna', 'agency', 'news', 'sudan', 'sama', 'sona', 'condition', 'summary', 'addresses', 'delivery', '2020', 'todays']	164	needs_review
70	Passports and civil-registration services	70_passports_immigration_passport_administration	['passports', 'immigration', 'passport', 'administration', 'registry', 'general', 'police', 'electronic', 'procedures', 'hijri', 'interior', 'services']	160	reviewed
71	Journalists, media and press freedom	71_journalists_media_female_press	['journalists', 'media', 'female', 'press', 'syndicate', 'journalist', 'professional', 'professionals', 'journalism', 'facts', 'war', 'union']	160	reviewed
72	International criminal courts and genocide cases	72_court_criminal_genocide_crimes	['court', 'criminal', 'genocide', 'crimes', 'justice', 'international', 'request', 'prosecutor', 'complaint', 'uae', 'humanity', 'lawsuit']	160	reviewed
73	Sudan–Egypt relations	73_egyptian_egypt_egypts_foreign	['egyptian', 'egypt', 'egypts', 'foreign', 'brotherly', 'president', 'cairo', 'regional', 'relations', 'sovereignty', 'external', 'stability']	159	reviewed
