message_key	topic_id	evidence_chunk_count	spans
1104571454:10056	33	1	"[{""chunk_id"":1,""start_char"":495,""end_char"":605,""source_start_char"":494,""source_end_char"":604}]"
1104571454:10100	11	1	"[{""chunk_id"":1,""start_char"":1167,""end_char"":1565,""source_start_char"":1166,""source_end_char"":1564}]"
1104571454:1011	1	1	"[{""chunk_id"":13,""start_char"":2854,""end_char"":2901,""source_start_char"":2841,""source_end_char"":2888}]"
1104571454:1011	30	1	"[{""chunk_id"":7,""start_char"":1695,""end_char"":1996,""source_start_char"":1688,""source_end_char"":1989}]"
1104571454:1011	40	1	"[{""chunk_id"":11,""start_char"":2553,""end_char"":2787,""source_start_char"":2542,""source_end_char"":2776}]"
1104571454:1011	43	3	"[{""chunk_id"":9,""start_char"":2224,""end_char"":2303,""source_start_char"":2215,""source_end_char"":2294},{""chunk_id"":16,""start_char"":3874,""end_char"":4057,""source_start_char"":3858,""source_end_char"":4041},{""chunk_id"":18,""start_char"":4120,""end_char"":4189,""source_start_char"":4102,""source_end_char"":4171}]"
1104571454:1011	93	1	"[{""chunk_id"":6,""start_char"":1442,""end_char"":1693,""source_start_char"":1436,""source_end_char"":1687}]"
1104571454:1011	179	1	"[{""chunk_id"":1,""start_char"":102,""end_char"":177,""source_start_char"":101,""source_end_char"":176}]"
1104571454:1011	201	1	"[{""chunk_id"":10,""start_char"":2305,""end_char"":2551,""source_start_char"":2295,""source_end_char"":2541}]"
1104571454:1011	255	1	"[{""chunk_id"":8,""start_char"":1998,""end_char"":2222,""source_start_char"":1990,""source_end_char"":2214}]"
1104571454:1011	271	1	"[{""chunk_id"":15,""start_char"":3727,""end_char"":3872,""source_start_char"":3712,""source_end_char"":3857}]"
1104571454:10125	160	1	"[{""chunk_id"":1,""start_char"":268,""end_char"":1153,""source_start_char"":267,""source_end_char"":1151}]"
1104571454:10140	153	1	"[{""chunk_id"":0,""start_char"":0,""end_char"":123,""source_start_char"":0,""source_end_char"":123}]"
1104571454:10168	8	1	"[{""chunk_id"":9,""start_char"":3145,""end_char"":3332,""source_start_char"":3136,""source_end_char"":3323}]"
1104571454:10168	89	1	"[{""chunk_id"":1,""start_char"":324,""end_char"":551,""source_start_char"":323,""source_end_char"":550}]"
1104571454:10168	91	1	"[{""chunk_id"":3,""start_char"":808,""end_char"":1194,""source_start_char"":805,""source_end_char"":1191}]"
1104571454:10168	138	1	"[{""chunk_id"":8,""start_char"":2263,""end_char"":3143,""source_start_char"":2255,""source_end_char"":3135}]"
1104571454:10168	169	1	"[{""chunk_id"":5,""start_char"":1414,""end_char"":1744,""source_start_char"":1409,""source_end_char"":1739}]"
1104571454:10176	8	1	"[{""chunk_id"":9,""start_char"":3145,""end_char"":3332,""source_start_char"":3136,""source_end_char"":3323}]"
1104571454:10176	89	1	"[{""chunk_id"":1,""start_char"":324,""end_char"":551,""source_start_char"":323,""source_end_char"":550}]"
1104571454:10176	91	1	"[{""chunk_id"":3,""start_char"":808,""end_char"":1194,""source_start_char"":805,""source_end_char"":1191}]"
1104571454:10176	138	1	"[{""chunk_id"":8,""start_char"":2263,""end_char"":3143,""source_start_char"":2255,""source_end_char"":3135}]"
1104571454:10176	169	1	"[{""chunk_id"":5,""start_char"":1414,""end_char"":1744,""source_start_char"":1409,""source_end_char"":1739}]"
