Topic	Words	Frequency	Timestamp
-1	facebook, network, bashir, snn, al	160	2017-05-13 01:25:09.570000000
0	rebels, colonel, wadi, saleh, capture	4	2017-05-13 01:25:09.570000000
1	students, khair, school, schools, education	21	2017-05-13 01:25:09.570000000
2	appreciation, nations, guterres, united, secretary	3	2017-05-13 01:25:09.570000000
3	player, 39, contacts, watery, pills	1	2017-05-13 01:25:09.570000000
4	qatar, gulf, qatari, terrorism, boycott	8	2017-05-13 01:25:09.570000000
5	hammam, shafiq, magdy, 2017, science	3	2017-05-13 01:25:09.570000000
7	diarrhea, watery, epidemic, cases, contain	3	2017-05-13 01:25:09.570000000
11	carry, farms, tools, afternoon, bags	1	2017-05-13 01:25:09.570000000
12	inhabited, exceed, toll, 300, statistics	1	2017-05-13 01:25:09.570000000
13	likewise, blessings, earth, seeking, leaving	1	2017-05-13 01:25:09.570000000
16	microscope, mps, negligence, complains, bearing	2	2017-05-13 01:25:09.570000000
17	charitable, crescent, organization, philanthropists, initiative	5	2017-05-13 01:25:09.570000000
19	swiss, excellency, mr, bilateral, foreign	4	2017-05-13 01:25:09.570000000
23	acknowledge, french, legislative, elections, kingdom	1	2017-05-13 01:25:09.570000000
27	ain, pursue, rebels, enter, difficult	1	2017-05-13 01:25:09.570000000
30	banking, bank, banks, transfers, anticipating	3	2017-05-13 01:25:09.570000000
32	non, passes, patriotism, trading, referred	1	2017-05-13 01:25:09.570000000
34	vast, storms, 46, nigeria, quoted	2	2017-05-13 01:25:09.570000000
35	obstacle, biggest, regions, disagreements, sector	2	2017-05-13 01:25:09.570000000
38	97, assault, judiciary, funds, public	1	2017-05-13 01:25:09.570000000
43	banks, financial, boards, managers, complications	1	2017-05-13 01:25:09.570000000
44	rice, specified, eat, isolated, specific	1	2017-05-13 01:25:09.570000000
46	microscope, trafficking, point, used, network	1	2017-05-13 01:25:09.570000000
47	reconcile, waiting, answer, zero, think	1	2017-05-13 01:25:09.570000000
57	2017, preparation, monitoring, june, friday	1	2017-05-13 01:25:09.570000000
62	snn, facebook, headlines, 2017, network	4	2017-05-13 01:25:09.570000000
66	unamid, reducing, successor, disrupt, mission	3	2017-05-13 01:25:09.570000000
67	dust, surgery, drop, expects, temperatures	1	2017-05-13 01:25:09.570000000
73	bashir, egyptian, relations, egypt, opinion	4	2017-05-13 01:25:09.570000000
74	care, dont, come, didnt, personally	1	2017-05-13 01:25:09.570000000
79	water, 54, dire, drinking, sources	2	2017-05-13 01:25:09.570000000
91	somalia, bilateral, discussed, harboring, peace	2	2017-05-13 01:25:09.570000000
92	recognize, killed, example, battle, continued	1	2017-05-13 01:25:09.570000000
95	named, eyes, negative, account, welfare	2	2017-05-13 01:25:09.570000000
104	follows, overall, year, implementation, mission	1	2017-05-13 01:25:09.570000000
106	mosques, holy, saudi, custodian, sanctions	1	2017-05-13 01:25:09.570000000
114	migrants, journey, sahara, mediterranean, crowd	1	2017-05-13 01:25:09.570000000
116	haftar, alongside, libyan, egypt, forces	1	2017-05-13 01:25:09.570000000
117	housing, estate, fund, halfa, project	6	2017-05-13 01:25:09.570000000
120	refers, gulf, bashir, garda, diarrhea	2	2017-05-13 01:25:09.570000000
121	temperatures, winds, meteorology, slight, climate	1	2017-05-13 01:25:09.570000000
138	counting, publishing, lot, cultural, document	1	2017-05-13 01:25:09.570000000
143	anticipated, killer, watery, structures, diarrhea	1	2017-05-13 01:25:09.570000000
153	railway, linking, station, western, center	1	2017-05-13 01:25:09.570000000
