topic_id	supercluster_id	supercluster_label	family_id	family_label
0	2	Map region 2	1	Conflict in El Fasher and North Darfur · Violence, displacement and civilian harm
1	4	Map region 4	4	Education, schools and examinations · Jobs, vacancies and recruitment
2	1	Map region 1	2	Humanitarian aid, food insecurity and famine · Food baskets and charitable assistance
3	3	Map region 3	3	Football and Sudanese sports · Ethiopia, Tigray and the border
4	3	Map region 3	6	Gulf, Iran and regional affairs · Israel, Gaza and Palestine
5	4	Map region 4	7	Newspaper headlines and media round-ups · Ad · Todays · News · Headlines
6	3	Map region 3	3	Football and Sudanese sports · Ethiopia, Tigray and the border
7	5	Map region 5	9	Cholera, dengue and disease outbreaks · COVID-19 pandemic
8	3	Map region 3	6	Gulf, Iran and regional affairs · Israel, Gaza and Palestine
9	2	Map region 2	1	Conflict in El Fasher and North Darfur · Violence, displacement and civilian harm
10	2	Map region 2	1	Conflict in El Fasher and North Darfur · Violence, displacement and civilian harm
11	1	Map region 1	5	Agriculture, farmers and harvests · Banks, currency and exchange rates
12	2	Map region 2	1	Conflict in El Fasher and North Darfur · Violence, displacement and civilian harm
13	2	Map region 2	8	Religious prayers and blessings · God · Bless · Messenger · Grant
14	5	Map region 5	9	Cholera, dengue and disease outbreaks · COVID-19 pandemic
15	4	Map region 4	4	Education, schools and examinations · Jobs, vacancies and recruitment
16	3	Map region 3	3	Football and Sudanese sports · Ethiopia, Tigray and the border
17	1	Map region 1	2	Humanitarian aid, food insecurity and famine · Food baskets and charitable assistance
18	2	Map region 2	1	Conflict in El Fasher and North Darfur · Violence, displacement and civilian harm
19	3	Map region 3	6	Gulf, Iran and regional affairs · Israel, Gaza and Palestine
20	3	Map region 3	3	Football and Sudanese sports · Ethiopia, Tigray and the border
21	1	Map region 1	2	Humanitarian aid, food insecurity and famine · Food baskets and charitable assistance
22	2	Map region 2	1	Conflict in El Fasher and North Darfur · Violence, displacement and civilian harm
23	3	Map region 3	3	Football and Sudanese sports · Ethiopia, Tigray and the border
24	1	Map region 1	2	Humanitarian aid, food insecurity and famine · Food baskets and charitable assistance
25	1	Map region 1	2	Humanitarian aid, food insecurity and famine · Food baskets and charitable assistance
26	3	Map region 3	3	Football and Sudanese sports · Ethiopia, Tigray and the border
27	2	Map region 2	1	Conflict in El Fasher and North Darfur · Violence, displacement and civilian harm
28	1	Map region 1	2	Humanitarian aid, food insecurity and famine · Food baskets and charitable assistance
29	1	Map region 1	10	Khartoum policing and public security · Police · Security · Crime · Intelligence
30	1	Map region 1	5	Agriculture, farmers and harvests · Banks, currency and exchange rates
31	1	Map region 1	5	Agriculture, farmers and harvests · Banks, currency and exchange rates
32	1	Map region 1	2	Humanitarian aid, food insecurity and famine · Food baskets and charitable assistance
33	1	Map region 1	10	Khartoum policing and public security · Police · Security · Crime · Intelligence
34	1	Map region 1	2	Humanitarian aid, food insecurity and famine · Food baskets and charitable assistance
35	3	Map region 3	6	Gulf, Iran and regional affairs · Israel, Gaza and Palestine
36	2	Map region 2	11	December Revolution and democratic change · Military equipment, armoured vehicles and ammunition
37	2	Map region 2	1	Conflict in El Fasher and North Darfur · Violence, displacement and civilian harm
38	1	Map region 1	10	Khartoum policing and public security · Police · Security · Crime · Intelligence
39	1	Map region 1	2	Humanitarian aid, food insecurity and famine · Food baskets and charitable assistance
40	1	Map region 1	5	Agriculture, farmers and harvests · Banks, currency and exchange rates
41	4	Map region 4	4	Education, schools and examinations · Jobs, vacancies and recruitment
42	2	Map region 2	1	Conflict in El Fasher and North Darfur · Violence, displacement and civilian harm
43	1	Map region 1	5	Agriculture, farmers and harvests · Banks, currency and exchange rates
44	5	Map region 5	9	Cholera, dengue and disease outbreaks · COVID-19 pandemic
45	1	Map region 1	10	Khartoum policing and public security · Police · Security · Crime · Intelligence
46	1	Map region 1	10	Khartoum policing and public security · Police · Security · Crime · Intelligence
47	4	Map region 4	4	Education, schools and examinations · Jobs, vacancies and recruitment
48	3	Map region 3	6	Gulf, Iran and regional affairs · Israel, Gaza and Palestine
49	2	Map region 2	8	Religious prayers and blessings · God · Bless · Messenger · Grant
50	4	Map region 4	12	Follow · Httpstmesudaaan · Channel · Whatsapp · Join · Scene · Httpstmesdnewsnetwork · Link
51	1	Map region 1	5	Agriculture, farmers and harvests · Banks, currency and exchange rates
52	1	Map region 1	2	Humanitarian aid, food insecurity and famine · Food baskets and charitable assistance
53	1	Map region 1	5	Agriculture, farmers and harvests · Banks, currency and exchange rates
54	3	Map region 3	3	Football and Sudanese sports · Ethiopia, Tigray and the border
55	4	Map region 4	4	Education, schools and examinations · Jobs, vacancies and recruitment
56	4	Map region 4	4	Education, schools and examinations · Jobs, vacancies and recruitment
57	4	Map region 4	7	Newspaper headlines and media round-ups · Ad · Todays · News · Headlines
