topic_id	broad_id	broad_label	subfamily_id	subfamily_label
0	humanitarian	Humanitarian conditions, health and refugees	95	Darfur health and humanitarian conditions
1	conflict	El Fasher and armed conflict	69	El Fasher and armed conflict
2	humanitarian	Humanitarian conditions, health and refugees	95	Darfur health and humanitarian conditions
3	humanitarian	Humanitarian conditions, health and refugees	94	Regional humanitarian and social issues
4	public	Education and public services	85	Education and public services
5	humanitarian	Humanitarian conditions, health and refugees	95	Darfur health and humanitarian conditions
6	migration	Migration, migrant journeys and trafficking	77	Migrant journeys and Mediterranean routes
7	public	Education and public services	85	Education and public services
8	humanitarian	Humanitarian conditions, health and refugees	99	Ethiopia, UN agencies and refugees
9	humanitarian	Humanitarian conditions, health and refugees	99	Ethiopia, UN agencies and refugees
10	humanitarian	Humanitarian conditions, health and refugees	94	Regional humanitarian and social issues
11	humanitarian	Humanitarian conditions, health and refugees	95	Darfur health and humanitarian conditions
12	conflict	El Fasher and armed conflict	69	El Fasher and armed conflict
13	migration	Migration, migrant journeys and trafficking	101	Human trafficking and social-media coverage
14	migration	Migration, migrant journeys and trafficking	77	Migrant journeys and Mediterranean routes
15	humanitarian	Humanitarian conditions, health and refugees	99	Ethiopia, UN agencies and refugees
16	migration	Migration, migrant journeys and trafficking	101	Human trafficking and social-media coverage
17	diaspora	Diaspora and political marginalisation	93	Diaspora and political marginalisation
18	humanitarian	Humanitarian conditions, health and refugees	95	Darfur health and humanitarian conditions
19	public	Education and public services	85	Education and public services
20	migration	Migration, migrant journeys and trafficking	101	Human trafficking and social-media coverage
21	migration	Migration, migrant journeys and trafficking	101	Human trafficking and social-media coverage
22	humanitarian	Humanitarian conditions, health and refugees	99	Ethiopia, UN agencies and refugees
23	migration	Migration, migrant journeys and trafficking	72	Migration, population and international organisations
24	migration	Migration, migrant journeys and trafficking	101	Human trafficking and social-media coverage
25	humanitarian	Humanitarian conditions, health and refugees	99	Ethiopia, UN agencies and refugees
26	migration	Migration, migrant journeys and trafficking	101	Human trafficking and social-media coverage
27	migration	Migration, migrant journeys and trafficking	101	Human trafficking and social-media coverage
28	diaspora	Diaspora and political marginalisation	93	Diaspora and political marginalisation
29	humanitarian	Humanitarian conditions, health and refugees	95	Darfur health and humanitarian conditions
30	humanitarian	Humanitarian conditions, health and refugees	99	Ethiopia, UN agencies and refugees
31	migration	Migration, migrant journeys and trafficking	101	Human trafficking and social-media coverage
32	diaspora	Diaspora and political marginalisation	93	Diaspora and political marginalisation
33	migration	Migration, migrant journeys and trafficking	77	Migrant journeys and Mediterranean routes
34	migration	Migration, migrant journeys and trafficking	72	Migration, population and international organisations
35	humanitarian	Humanitarian conditions, health and refugees	94	Regional humanitarian and social issues
36	migration	Migration, migrant journeys and trafficking	101	Human trafficking and social-media coverage
37	humanitarian	Humanitarian conditions, health and refugees	94	Regional humanitarian and social issues
38	humanitarian	Humanitarian conditions, health and refugees	95	Darfur health and humanitarian conditions
39	humanitarian	Humanitarian conditions, health and refugees	94	Regional humanitarian and social issues
40	humanitarian	Humanitarian conditions, health and refugees	94	Regional humanitarian and social issues
41	humanitarian	Humanitarian conditions, health and refugees	99	Ethiopia, UN agencies and refugees
42	humanitarian	Humanitarian conditions, health and refugees	95	Darfur health and humanitarian conditions
43	migration	Migration, migrant journeys and trafficking	77	Migrant journeys and Mediterranean routes
44	diaspora	Diaspora and political marginalisation	93	Diaspora and political marginalisation
45	humanitarian	Humanitarian conditions, health and refugees	94	Regional humanitarian and social issues
46	migration	Migration, migrant journeys and trafficking	72	Migration, population and international organisations
47	conflict	El Fasher and armed conflict	69	El Fasher and armed conflict
48	humanitarian	Humanitarian conditions, health and refugees	94	Regional humanitarian and social issues
49	humanitarian	Humanitarian conditions, health and refugees	95	Darfur health and humanitarian conditions
50	humanitarian	Humanitarian conditions, health and refugees	95	Darfur health and humanitarian conditions
51	conflict	El Fasher and armed conflict	69	El Fasher and armed conflict
52	migration	Migration, migrant journeys and trafficking	101	Human trafficking and social-media coverage
53	public	Education and public services	85	Education and public services
