topic_id	parent_id	display_label
0		Conflict in El Fasher and North Darfur
1		Education, schools and examinations
2		Humanitarian aid, food insecurity and famine
3		Football and Sudanese sports
4		Gulf, Iran and regional affairs
5		Newspaper headlines and media round-ups
6		Ethiopia, Tigray and the border
7		Cholera, dengue and disease outbreaks
8		Israel, Gaza and Palestine
9		Violence, displacement and civilian harm
10		Women’s rights and sexual violence
11		Agriculture, farmers and harvests
12		Displacement, looting and attacks on civilians
13		Religious prayers and blessings
14		COVID-19 pandemic
15		Jobs, vacancies and recruitment
16		Constitution, elections and political transition
17		Food baskets and charitable assistance
18		War crimes, genocide and international law
19		Foreign relations and diplomatic visits
21		Health care, hospitals and medicines
22		Armed struggle and military mobilisation
23		Hamdok, political parties and transition
24		Displacement camps in El Fasher and Tawila
25		South Sudanese and Chadian refugees
27		Military operations around El Fasher
28		Ethiopian refugees and Tigray displacement
29		Khartoum policing and public security
30		Banks, currency and exchange rates
31		Aviation, airports and flights
32		Passports, visas and immigration procedures
34		Floods, rainfall and storm damage
35		Ceasefires, peace talks and conflict negotiations
36		December Revolution and democratic change
38		Courts, corruption and criminal justice
39		Sudanese in Egypt and deportations
40		Gold mining and mineral resources
42		Human rights investigations and accountability
43		Inflation and the parallel currency market
44		COVID-19 cases and public-health response
45		Drug seizures and narcotics control
46		Human trafficking and migrant smuggling
48		African Union, IGAD and continental diplomacy
51		Electricity, power supply and outages
52		Displacement shelters and living conditions
53		Oil, fuel and refineries
56		Telecommunications, internet and Starlink
58		Government appointments and ministries
59		Customs, borders and goods smuggling
60		Budget, taxation and public finance
65		Hospitals, doctors and medical services
66		UN Security Council, sanctions and missions
67		Weather forecasts and temperatures
68		Justice, democracy and political marginalisation
70		Passports and civil-registration services
71		Journalists, media and press freedom
72		International criminal courts and genocide cases
73		Sudan–Egypt relations
76		Military equipment, armoured vehicles and ammunition
77		Music, artists and cultural events
78		Terrorism and extremist violence
	574	Sudan public conversation
	573	Governance, conflict and public affairs
	572	Community messages, services and information sharing
	570	Armed conflict and military actors
	568	Public services, government and the economy
	566	Religious, social-media and community expression
	565	International relations and national politics
	564	Government, public services and national affairs
