family_id	family_label
554	News headlines and media round-ups
569	Jobs, training and recruitment
501	Religious prayers and blessings
546	Weather, floods and climate
550	Social-media promotion and personal messages
533	Personal commentary and diaspora
317	News channels and social-media promotion
543	Economy, currency and prices
537	Passports, immigration and travel
547	Security, policing and trafficking
510	Energy, electricity and water infrastructure
551	Government, education and public administration
560	Refugees, humanitarian aid and Ethiopia
541	Armed forces and military leadership
552	El Fasher, RSF and conflict
549	Foreign relations, Israel, UAE and Burhan
558	Courts, politics and revolution
