topic_id	supercluster_id	supercluster_label	family_id	family_label
0	1	Health · Doctors · Malnutrition · Disease · Darfur · Humanitarian · North · South	2	Health · Doctors · Malnutrition · Disease · Darfur · Humanitarian · North · South
1	3	Rapid · Fasher · El · Artillery · Gaza · Bombing · Raid · Yunis	7	Rapid · Fasher · El · Artillery · Gaza · Bombing · Raid · Yunis
2	1	Health · Doctors · Malnutrition · Disease · Darfur · Humanitarian · North · South	2	Health · Doctors · Malnutrition · Disease · Darfur · Humanitarian · North · South
3	3	Rapid · Fasher · El · Artillery · Gaza · Bombing · Raid · Yunis	7	Rapid · Fasher · El · Artillery · Gaza · Bombing · Raid · Yunis
4	2	Khartoum · Omdurman · Sennar · Homes · Boat · Migrants · Coast · Migrant	4	Khartoum · Omdurman · Sennar · Homes · Schools · Students · Education · University
5	1	Health · Doctors · Malnutrition · Disease · Darfur · Humanitarian · North · South	3	Chad · Libya · Tragic · Kufra · Ethiopia · Ethiopian · Forests · Olala
6	2	Khartoum · Omdurman · Sennar · Homes · Boat · Migrants · Coast · Migrant	1	Boat · Migrants · Coast · Migrant · Trafficking · Human · Network · Victims
7	2	Khartoum · Omdurman · Sennar · Homes · Boat · Migrants · Coast · Migrant	4	Khartoum · Omdurman · Sennar · Homes · Schools · Students · Education · University
8	1	Health · Doctors · Malnutrition · Disease · Darfur · Humanitarian · North · South	5	Nations · United · Warns · Conflict · Chad · Uae · Visits · Delegation
9	1	Health · Doctors · Malnutrition · Disease · Darfur · Humanitarian · North · South	3	Chad · Libya · Tragic · Kufra · Ethiopia · Ethiopian · Forests · Olala
10	1	Health · Doctors · Malnutrition · Disease · Darfur · Humanitarian · North · South	2	Health · Doctors · Malnutrition · Disease · Darfur · Humanitarian · North · South
11	1	Health · Doctors · Malnutrition · Disease · Darfur · Humanitarian · North · South	5	Nations · United · Warns · Conflict · Chad · Uae · Visits · Delegation
12	3	Rapid · Fasher · El · Artillery · Gaza · Bombing · Raid · Yunis	8	Army · Clashes · Kordofan · Battles · Millions · Reaches · Hate · Hell
13	2	Khartoum · Omdurman · Sennar · Homes · Boat · Migrants · Coast · Migrant	1	Boat · Migrants · Coast · Migrant · Trafficking · Human · Network · Victims
14	2	Khartoum · Omdurman · Sennar · Homes · Boat · Migrants · Coast · Migrant	1	Boat · Migrants · Coast · Migrant · Trafficking · Human · Network · Victims
15	1	Health · Doctors · Malnutrition · Disease · Darfur · Humanitarian · North · South	3	Chad · Libya · Tragic · Kufra · Ethiopia · Ethiopian · Forests · Olala
16	2	Khartoum · Omdurman · Sennar · Homes · Boat · Migrants · Coast · Migrant	1	Boat · Migrants · Coast · Migrant · Trafficking · Human · Network · Victims
17	3	Rapid · Fasher · El · Artillery · Gaza · Bombing · Raid · Yunis	6	Diaspora · Freedom · Revolution · Arabs · Locality · El · Marra · Jebel
18	3	Rapid · Fasher · El · Artillery · Gaza · Bombing · Raid · Yunis	6	Diaspora · Freedom · Revolution · Arabs · Locality · El · Marra · Jebel
19	3	Rapid · Fasher · El · Artillery · Gaza · Bombing · Raid · Yunis	6	Diaspora · Freedom · Revolution · Arabs · Locality · El · Marra · Jebel
20	2	Khartoum · Omdurman · Sennar · Homes · Boat · Migrants · Coast · Migrant	1	Boat · Migrants · Coast · Migrant · Trafficking · Human · Network · Victims
21	2	Khartoum · Omdurman · Sennar · Homes · Boat · Migrants · Coast · Migrant	4	Khartoum · Omdurman · Sennar · Homes · Schools · Students · Education · University
22	3	Rapid · Fasher · El · Artillery · Gaza · Bombing · Raid · Yunis	8	Army · Clashes · Kordofan · Battles · Millions · Reaches · Hate · Hell
23	1	Health · Doctors · Malnutrition · Disease · Darfur · Humanitarian · North · South	3	Chad · Libya · Tragic · Kufra · Ethiopia · Ethiopian · Forests · Olala
24	2	Khartoum · Omdurman · Sennar · Homes · Boat · Migrants · Coast · Migrant	4	Khartoum · Omdurman · Sennar · Homes · Schools · Students · Education · University
25	1	Health · Doctors · Malnutrition · Disease · Darfur · Humanitarian · North · South	2	Health · Doctors · Malnutrition · Disease · Darfur · Humanitarian · North · South
26	2	Khartoum · Omdurman · Sennar · Homes · Boat · Migrants · Coast · Migrant	1	Boat · Migrants · Coast · Migrant · Trafficking · Human · Network · Victims
